date,open,high,low,close,adj_close,volume,ticker,arithmetic_return,log_return,rolling_mean_return,rolling_volatility,cumulative_return,drawdown,max_drawdown_to_date,volume_rolling_mean,volume_zscore
2018-01-01,100.1604781204011,101.63751706889275,100.1604781204011,101.13967713025332,101.13967713025332,5730419,AAPL,,,,,1.0,0.0,0.0,,
2018-01-02,101.43424598313283,101.88499845139701,100.71776139942969,101.30137992541334,101.30137992541334,9695781,AAPL,0.0015988067170886744,0.001597529986278746,,,1.0015988067170887,0.0,0.0,,
2018-01-03,101.24329437590535,105.15800288133138,101.24329437590535,104.65685702607728,104.65685702607728,9046480,AAPL,0.033123705749462884,0.0325869368392759,,,1.0347754708697987,0.0,0.0,,
2018-01-04,104.65330521585246,107.21078551892849,104.65330521585246,106.70455224962507,106.70455224962507,5070755,AAPL,0.019565800863268423,0.019376851238248866,,,1.055021681671032,0.0,0.0,,
2018-01-05,106.70670350901402,109.57797334554947,106.70670350901402,108.96233191319892,108.96233191319892,3017688,AAPL,0.021159169088606378,0.0209384223196884,,,1.0773450638256552,0.0,0.0,,
2018-01-08,109.33512589227009,110.51301144163601,109.33512589227009,110.42237769137766,110.42237769137766,6321810,AAPL,0.013399545994865703,0.013310566057663264,,,1.0917809985607285,0.0,0.0,,
2018-01-09,110.44190484030419,110.44190484030419,108.13607699382155,108.74549690408115,108.74549690408115,8387144,AAPL,-0.01518605940530704,-0.015302548449805544,,,1.0752011474589998,-0.01518605940530715,-0.01518605940530715,,
2018-01-10,108.58144216984951,111.30066148324458,108.58144216984951,110.34991614843368,110.34991614843368,4497540,AAPL,0.014753891333704638,0.01464611150035217,,,1.0910645483504844,-0.0006562215418555173,-0.01518605940530715,,
2018-01-11,110.06235144727697,115.82269220625172,110.06235144727697,114.87654157190215,114.87654157190215,2064168,AAPL,0.04102065122894727,0.040201627312093806,,,1.1358207266566385,0.0,-0.01518605940530715,,
2018-01-12,115.00820645423158,119.1140093676527,115.00820645423158,118.27744661107526,118.27744661107526,2866776,AAPL,0.029604869650819543,0.029175106941683217,,,1.1694465512160075,0.0,-0.01518605940530715,,
2018-01-15,118.54042808107472,118.54042808107472,117.45354494600879,117.73027130047961,117.73027130047961,2907975,AAPL,-0.004626201581734324,-0.004636935570128611,,,1.1640364557310183,-0.004626201581734213,-0.01518605940530715,,
2018-01-16,117.76218705953991,117.76218705953991,115.64383808096456,115.891165413159,115.891165413159,3788385,AAPL,-0.015621350966114056,-0.01574465001995117,,,1.1458526337186925,-0.020175285029300105,-0.020175285029300105,,
