date,open,high,low,close,adj_close,volume,ticker
2018-01-01,100.1604781204011,101.63751706889275,100.1604781204011,101.13967713025332,101.13967713025332,5730419,AAPL
2018-01-02,101.43424598313283,101.88499845139701,100.71776139942969,101.30137992541334,101.30137992541334,9695781,AAPL
2018-01-03,101.24329437590535,105.15800288133138,101.24329437590535,104.65685702607728,104.65685702607728,9046480,AAPL
2018-01-04,104.65330521585246,107.21078551892849,104.65330521585246,106.70455224962507,106.70455224962507,5070755,AAPL
2018-01-05,106.70670350901402,109.57797334554947,106.70670350901402,108.96233191319892,108.96233191319892,3017688,AAPL
2018-01-08,109.33512589227009,110.51301144163601,109.33512589227009,110.42237769137766,110.42237769137766,6321810,AAPL
2018-01-09,110.44190484030419,110.44190484030419,108.13607699382155,108.74549690408115,108.74549690408115,8387144,AAPL
2018-01-10,108.58144216984951,111.30066148324458,108.58144216984951,110.34991614843368,110.34991614843368,4497540,AAPL
2018-01-11,110.06235144727697,115.82269220625172,110.06235144727697,114.87654157190215,114.87654157190215,2064168,AAPL
2018-01-12,115.00820645423158,119.1140093676527,115.00820645423158,118.27744661107526,118.27744661107526,2866776,AAPL
2018-01-15,118.54042808107472,118.54042808107472,117.45354494600879,117.73027130047961,117.73027130047961,2907975,AAPL
2018-01-16,117.76218705953991,117.76218705953991,115.64383808096456,115.891165413159,115.891165413159,3788385,AAPL
2018-01-17,115.89330049257744,118.01501610871296,115.89330049257744,117.66612264469111,117.66612264469111,5157203,AAPL
2018-01-18,118.03049258164528,121.06326758797833,118.03049258164528,120.12466497755167,120.12466497755167,6794978,AAPL
2018-01-19,119.95091858950786,122.67212376709747,119.95091858950786,121.93815600469568,121.93815600469568,8847197,AAPL
2018-01-22,121.78669137567883,121.78669137567883,119.05950727085347,119.74640354338173,119.74640354338173,4275849,AAPL
2018-01-23,119.54817189370989,120.85737251140905,119.44282983936121,120.15010117538513,120.15010117538513,3130347,AAPL
2018-01-24,120.16022384090999,123.18227324273509,120.16022384090999,122.5133556341994,122.5133556341994,3891619,AAPL
2018-01-25,122.83464049855709,127.31170696806024,122.83464049855709,126.38153249884645,126.38153249884645,4877394,AAPL
2018-01-26,126.47439487783151,127.91293271160299,126.47439487783151,127.64514123382907,127.64514123382907,6718356,AAPL
2018-01-29,127.72075858993877,130.61720646706365,127.72075858993877,129.5221905908216,129.5221905908216,2572025,AAPL
2018-01-30,129.49898599988578,133.70487756985938,129.49898599988578,132.0510628982697,132.0510628982697,9572327,AAPL
2018-01-31,132.3223567269186,133.81085849485436,132.3223567269186,133.20267819168077,133.20267819168077,8692946,AAPL
2018-02-01,133.04606220200898,135.09361450886453,131.69583189148918,133.39472320017686,133.39472320017686,5931194,AAPL
2018-02-02,133.1232727868721,136.00879584331497,133.1232727868721,135.6341966535995,135.6341966535995,7088589,AAPL
2018-02-05,136.01494625042974,137.99222045276005,136.01494625042974,137.30145808423322,137.30145808423322,3671655,AAPL
2018-02-06,137.37919057892546,137.60675696557274,136.6681300358187,137.13744350069572,137.13744350069572,7360621,AAPL
2018-02-07,137.30259208403623,137.30259208403623,136.05869668729017,136.38978680699384,136.38978680699384,6019208,AAPL
2018-02-08,136.28339260707,138.41810423106435,135.95839051493496,137.18824737299965,137.18824737299965,3942861,AAPL
2018-02-09,137.21563649141456,139.90799199768517,137.21563649141456,139.07781426781364,139.07781426781364,7103274,AAPL
2018-02-12,139.31836564332997,140.18267748801824,137.6625178922399,138.92259769012907,138.92259769012907,2154124,AAPL
2018-02-13,139.0766899532446,142.4048973394127,139.0766899532446,142.19099050191818,142.19099050191818,1710453,AAPL
2018-02-14,142.18751216195471,142.18751216195471,140.49485524817467,141.29977336201475,141.29977336201475,9865664,AAPL
2018-02-15,140.88350641343993,144.59063537901196,140.88350641343993,143.25291279329258,143.25291279329258,4165052,AAPL
2018-02-16,143.3836714591626,143.3836714591626,142.26631589436678,142.6370545367697,142.6370545367697,7092135,AAPL
2018-02-19,141.9157422284878,143.08320405936928,141.9157422284878,142.68534614287242,142.68534614287242,7279666,AAPL
2018-02-20,142.32941521222443,146.85528586797963,142.32941521222443,146.46791464427028,146.46791464427028,5435395,AAPL
2018-02-21,146.4492436205248,148.15496160438875,146.39288974065252,147.27392567252062,147.27392567252062,2388130,AAPL
2018-02-22,147.37206031938396,148.429447333421,145.7355518185839,147.08249957600245,147.08249957600245,9060042,AAPL
2018-02-23,146.5625897553989,146.5625897553989,142.62995190854642,143.9014090445837,143.9014090445837,3109933,AAPL
2018-02-26,143.72609504940917,145.63312419883496,143.72609504940917,144.80706015663364,144.80706015663364,2930980,AAPL
2018-02-27,145.12880044134204,146.39557438752306,144.43808832702362,145.41683135727334,145.41683135727334,7137031,AAPL
2018-02-28,144.99137895578275,145.82506752626836,144.72169209261557,145.27337980944196,145.27337980944196,5249899,AAPL
2018-03-01,145.39366612394468,145.39366612394468,142.06128558135956,143.1672216483057,143.1672216483057,3612444,AAPL
2018-03-02,143.29410700232464,143.29410700232464,139.25183638253057,140.50469302212727,140.50469302212727,8630766,AAPL
